tweet_id,username,name,profile_picture,replies,retweets,likes,is_retweet,retweet_link,posted_time,content,hashtags,mentions,images,videos,tweet_url,link
1599763031613145088,ddungddang102,뚱땅ᴅᴅᴜɴɢᴅᴅᴀɴɢ,https://pbs.twimg.com/profile_images/1646506002924314625/5xJ3toFa_x96.jpg,46,2666,20822,True,https://twitter.com/ddungddang102/status/1599763031613145088,2022-12-05T13:50:03+00:00,"#gawrt 
Gura is bored",['gawrt'],[],['https://pbs.twimg.com/media/FjN_KXVaMAASz9-?format=jpg&name=medium'],[],https://twitter.com/ddungddang102/status/1599763031613145088,
1599462002446897153,CoffgirlDAZE,Coffgirl,https://pbs.twimg.com/profile_images/1629880471550296064/8D7ZcVl1_x96.jpg,186,4048,18994,True,https://twitter.com/CoffgirlDAZE/status/1599462002446897153,2022-12-04T17:53:52+00:00,"Failed trying to upload it on twitter earlier
hope it works now

Epic fight of Gura and Oreo

#gawrt #animation","['gawrt', 'animation']",[],['https://pbs.twimg.com/ext_tw_video_thumb/1599461895236251648/pu/img/ZuJYeBG3o3oJL0GO.jpg'],['blob:https://twitter.com/32546043-8791-4a7a-9af1-c87c0a8895fe'],https://twitter.com/CoffgirlDAZE/status/1599462002446897153,
1599502644762259456,gawrgura,Gawr Gura,https://pbs.twimg.com/profile_images/1539701674679291904/ZrBJqhoc_x96.jpg,72,685,7139,False,,2022-12-04T20:35:22+00:00,"my vegetable!!! 
https://youtu.be/ZMEyYtc7Bzg",[],[],['https://pbs.twimg.com/media/FjKTCl_XoAAkNY2?format=jpg&name=medium'],[],https://twitter.com/gawrgura/status/1599502644762259456,
1599456256170684422,gawrgura,Gawr Gura,https://pbs.twimg.com/profile_images/1539701674679291904/ZrBJqhoc_x96.jpg,423,1730,27541,False,,2022-12-04T17:31:02+00:00,"happy shark 
(๑╹ω╹๑ )  ",[],[],[],[],https://twitter.com/gawrgura/status/1599456256170684422,
1599388047010717696,alicemahou,Alice Magic有栖魔法,https://pbs.twimg.com/profile_images/1509965043542245379/pyN5cS_b_x96.jpg,137,3812,18000,True,https://twitter.com/alicemahou/status/1599388047010717696,2022-12-04T13:00:00+00:00,"【Hololive Animation】Terrifying Monster Wreaks Havoc and Chaos 
【ホロライブ自主制作アニメ】絶体絶命恐怖の大怪獣

#gawrt #drawMEI","['gawrt', 'drawMEI']",[],['https://pbs.twimg.com/ext_tw_video_thumb/1599386896962035716/pu/img/L5OF1ofEDuws1uhM.jpg'],['blob:https://twitter.com/fd41378b-0e21-49a4-a4cc-26615bf117ae'],https://twitter.com/alicemahou/status/1599388047010717696,
1598873963110989825,tataroro_1,たろ,https://pbs.twimg.com/profile_images/1493161789395144707/xexZQ33X_x96.jpg,32,3821,30375,True,https://twitter.com/tataroro_1/status/1598873963110989825,2022-12-03T02:57:13+00:00,#gwart,['gwart'],[],['https://pbs.twimg.com/media/FjBXZIkaUAAiAoa?format=jpg&name=medium'],[],https://twitter.com/tataroro_1/status/1598873963110989825,
1599178172762710016,wersman2,Wersmаn,https://pbs.twimg.com/profile_images/1642266793438851072/tnQlCjct_x96.jpg,32,1990,15850,True,https://twitter.com/wersman2/status/1599178172762710016,2022-12-03T23:06:02+00:00,"- Where is the gift? 
- I am the gift
#gawrt",['gawrt'],[],['https://pbs.twimg.com/media/FjFsEnxXwAEfMcX?format=jpg&name=900x900'],[],https://twitter.com/wersman2/status/1599178172762710016,
1599140753761935360,gawrgura,Gawr Gura,https://pbs.twimg.com/profile_images/1539701674679291904/ZrBJqhoc_x96.jpg,188,967,9922,False,,2022-12-03T20:37:20+00:00,"SPORTBALL
https://youtu.be/L3tOeOV2VOo",[],[],['https://pbs.twimg.com/media/FjFJd81WIAA2V-A?format=jpg&name=medium'],[],https://twitter.com/gawrgura/status/1599140753761935360,
1598779234297577473,gawrgura,Gawr Gura,https://pbs.twimg.com/profile_images/1539701674679291904/ZrBJqhoc_x96.jpg,257,1393,15949,False,,2022-12-02T20:40:47+00:00,hmm lets stream sat / sun this weekend!  bonk bonk,[],[],['https://pbs.twimg.com/tweet_video_thumb/FjABPFrXkAAvn53.jpg'],['https://video.twimg.com/tweet_video/FjABPFrXkAAvn53.mp4'],https://twitter.com/gawrgura/status/1598779234297577473,
1598670268653867008,gawrgura,Gawr Gura,https://pbs.twimg.com/profile_images/1539701674679291904/ZrBJqhoc_x96.jpg,113,933,9417,False,,2022-12-02T13:27:48+00:00, sharky on stage!! AAA ,[],[],['https://pbs.twimg.com/ext_tw_video_thumb/1598603143541305344/pu/img/Wb453hfuAh0iY6h_.jpg'],['blob:https://twitter.com/3ff44b19-a5f0-4262-a0aa-27a247afcd94'],https://twitter.com/gawrgura/status/1598670268653867008,
1598669056336355328,gawrgura,Gawr Gura,https://pbs.twimg.com/profile_images/1539701674679291904/ZrBJqhoc_x96.jpg,88,793,8782,False,,2022-12-02T13:22:59+00:00,AAAAAAAAAAA HDSAHJKFHDSJKFHJK ,[],[],['https://pbs.twimg.com/media/Fi9gKkBaAAA7BLj?format=jpg&name=medium'],[],https://twitter.com/gawrgura/status/1598669056336355328,
1598411719113580557,gawrgura,Gawr Gura,https://pbs.twimg.com/profile_images/1539701674679291904/ZrBJqhoc_x96.jpg,196,1187,10702,False,,2022-12-01T20:20:25+00:00,"dont tap the glass, it excites the fish 
https://youtu.be/_4LpS0sfpvQ",[],[],['https://pbs.twimg.com/media/Fi6yrYFXEAIam9H?format=jpg&name=medium'],[],https://twitter.com/gawrgura/status/1598411719113580557,
1598405251111026690,gawrgura,Gawr Gura,https://pbs.twimg.com/profile_images/1539701674679291904/ZrBJqhoc_x96.jpg,569,1431,25857,False,,2022-12-01T19:54:43+00:00,i smell shark,[],[],[],[],https://twitter.com/gawrgura/status/1598405251111026690,
